"Investigation.Type","Event.Date","Location","Country","Latitude","Longitude","Injury.Severity","Aircraft.damage","Total.Fatal.Injuries","Total.Serious.Injuries","Total.Minor.Injuries","Total.Uninjured"
"Accident","8/30/74","Saltville, VA","United States","36.922223","-81.878056","Fatal(3)","Destroyed",3,NA,NA,NA
"Accident","3/16/82","MOBILE, AL","United States","30.757778","-88.355555","Fatal(1)","Substantial",1,NA,NA,NA
"Accident","1/8/83","Goldendale, WA","United States","46.041111","-120.849722","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","9/9/83","Kalispell, MT","United States","48.12","-113.8875","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","12/1/89","ENGADINE, MI","United States","46.154444","-85.663611","Fatal(1)","Substantial",1,NA,NA,NA
"Accident","10/11/90","Deadhorse, AK","United States","70.333333","-150.933333","Fatal(3)","Destroyed",3,NA,NA,NA
"Accident","9/5/92","Alpine, TX","United States","30.383611","-103.783334","Fatal(1)","Destroyed",1,1,NA,NA
"Accident","11/28/95","Marlinton, WV","United States","38.335","-80.28","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","9/14/97","St. Ignaces, MI","United States","45.928334","-84.825556","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","11/4/98","Robbinsville, NC","United States","35.389722","-83.920556","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","5/6/99","PLYMOUTH, MA","United States","41.908889","-70.728611","Fatal(1)","Destroyed",1,0,0,0
"Accident","5/28/99","Coeur d'Alene, ID","United States","47.852222","-116.475278","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","7/13/99","MINDEN, NV","United States","38.981667","-119.672778","Fatal(2)","Destroyed",2,0,0,0
"Accident","10/15/99","Ventura, CA","United States","34.294444","-119.335555","Fatal(2)","Destroyed",2,0,0,0
"Accident","11/27/99","PHILADELPHIA, MS","United States","32.784444","-88.926111","Fatal(2)","Destroyed",2,0,0,0
"Accident","1/22/00","San Antonio, TX","United States","29.553611","-98.483056","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","3/3/00","Manatee, FL","United States","27.485277","-82.534166","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","3/11/00","FALLBROOK, CA","United States","33.354167","-117.250833","Fatal(1)","Substantial",1,1,0,0
"Accident","3/19/00","Snelling, CA","United States","37.486389","-120.350556","Fatal(1)","Destroyed",1,0,0,0
"Accident","3/24/00","RIALTO, CA","United States","34.118056","-117.383611","Fatal(1)","Destroyed",1,0,0,0
"Accident","3/26/00","Panama City, FL","United States","30.227778","-85.719723","Fatal(1)","Destroyed",1,0,0,0
"Accident","4/5/00","MARIANNA, FL","United States","1.483333","-75.533333","Fatal(3)","Destroyed",3,NA,NA,NA
"Accident","4/11/00","Fullerton, CA","United States","33.866667","-117.966667","Fatal(1)","Destroyed",1,0,0,0
"Accident","4/13/00","LAKELAND, FL","United States","27.988889","-82.018611","Fatal(1)","Substantial",1,NA,NA,NA
"Accident","4/17/00","RENO, NV","United States","39.667223","-119.876111","Fatal(3)","Destroyed",3,0,0,0
"Accident","5/10/00","KAUNAKAKAI, HI","United States","21.127223","-157.149722","Fatal(6)","Destroyed",6,0,0,0
"Accident","5/14/00","APEX, NC","United States","35.732778","-78.849722","Fatal(2)","Substantial",2,0,0,0
"Accident","5/21/00","Bear Creek Town, PA","United States","41.153889","-75.758889","Fatal(19)","Destroyed",19,NA,NA,NA
"Accident","6/15/00","SAN JOSE, CA","United States","37.231389","-121.665833","Fatal(1)","Destroyed",1,0,0,0
"Accident","6/28/00","SAN BERNADINO, CA","United States","34.1","-117.233333","Fatal(1)","",1,NA,NA,2
"Accident","7/3/00","WHITTIER, AK","United States","60.8","-148.25","Fatal(1)","Destroyed",1,0,0,0
"Accident","7/8/00","Aspen, CO","United States","39.24","-106.711667","Fatal(4)","Destroyed",4,0,0,0
"Accident","7/17/00","Hernando, MS","United States","34.747777","-90.081111","Fatal(1)","Destroyed",1,0,0,0
"Accident","7/21/00","KAHULUI, MAUI, HI","United States","20.871667","-156.581667","Fatal(7)","Destroyed",7,0,0,0
"Accident","7/27/00","Cheyenne, WY","United States","41.011667","-105.108889","Fatal(1)","Destroyed",1,0,0,0
"Accident","7/30/00","JACKPOT, NV","United States","41.982223","-114.663611","Fatal(2)","Destroyed",2,0,0,0
"Accident","7/31/00","RALEIGH, NC","United States","35.849722","-78.751111","Fatal(1)","Destroyed",1,1,1,NA
"Accident","8/1/00","TRACY, CA","United States","37.831945","-121.403056","Fatal(1)","Destroyed",1,0,0,0
"Accident","8/13/00","Cold Springs, NV","United States","39.566667","-117.815556","Fatal(1)","Destroyed",1,0,0,0
"Accident","8/14/00","NEWBERRY SPRING, CA","United States","34.7925","-116.485833","Fatal(1)","Destroyed",1,1,1,0
"Accident","8/18/00","KENNEBUNKPORT, ME","United States","43.2","-70.233333","Fatal(2)","Substantial",2,1,2,0
"Accident","8/18/00","WATSONVILLE, CA","United States","36.895555","-121.794166","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","8/22/00","Scottsdale, AZ","United States","33.642777","-111.8175","Fatal(2)","Destroyed",2,0,0,0
"Accident","8/24/00","HUNT, TX","United States","30","-99.383611","Fatal(1)","Destroyed",1,0,0,0
"Accident","8/25/00","HILO, HI","United States","19.716667","-155.033333","Fatal(1)","Substantial",1,0,8,0
"Accident","8/29/00","JONESTOWN, PA","United States","40.403611","-76.225","Fatal(1)","Destroyed",1,0,0,0
"Accident","9/1/00","SO. LAKE TAHOE, CA","United States","38.893889","-119.995277","Fatal(4)","Destroyed",4,0,0,0
"Accident","9/3/00","SOUTH KINGSTOWN, RI","United States","41.4375","-71.541944","Fatal(3)","Destroyed",3,0,0,0
"Accident","9/4/00","ODESSA, FL","United States","28.22","-82.623334","Fatal(1)","Substantial",1,0,0,0
"Accident","9/7/00","WAYNESVILLE, NC","United States","35.438055","-83.060556","Fatal(2)","Destroyed",2,0,0,0
"Accident","9/18/00","NUIQSUT, AK","United States","70.205556","-151.019167","Fatal(5)","Destroyed",5,5,0,0
"Accident","9/20/00","ANIAK, AK","United States","61.040277","-157.173056","Fatal(1)","Destroyed",1,0,0,0
"Accident","10/1/00","SAN JUAN BATIST, CA","United States","36.828334","-121.576389","Fatal(4)","Destroyed",4,0,0,0
"Accident","10/4/00","SANTA ROSA, CA","United States","38.513056","-122.862222","Fatal(1)","Destroyed",1,0,0,0
"Accident","10/6/00","Edgartown, MA","United States","41.411111","-70.416667","Fatal(4)","Destroyed",4,0,0,0
"Accident","10/6/00","San Dimas, CA","United States","34.149166","-117.783333","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","10/10/00","WASH. CT. HOUSE, OH","United States","35.585","-83.408889","Fatal(1)","Destroyed",1,0,0,0
"Accident","10/10/00","Wichita, KS","United States","37.65","-97.433056","Fatal(2)","Destroyed",2,1,0,0
"Accident","10/13/00","Henderson, NV","United States","35.966667","-115.116667","Fatal(1)","Destroyed",1,0,0,0
"Accident","10/15/00","Monterey, CA","United States","36.612778","-121.871111","Fatal(2)","Destroyed",2,0,0,0
"Accident","10/23/00","Wheaton Springs, CA","United States","35.443333","-115.463333","Fatal(2)","Destroyed",2,0,0,0
"Accident","10/25/00","OKLAHOMA CITY, OK","United States","35.379445","-97.596111","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","10/28/00","E. Cameron 200, GM","United States","28.738055","-92.63","Fatal(1)","Destroyed",1,0,0,0
"Accident","10/30/00","GORMAN, CA","United States","34.793889","-118.852222","Fatal(1)","Substantial",1,1,0,0
"Accident","10/31/00","ZOLFO SPRINGS, FL","United States","27.459722","-81.812778","Fatal(1)","Substantial",1,0,0,0
"Accident","11/10/00","IDAHO FALLS, ID","United States","43.536389","-112.063056","Fatal(2)","Substantial",2,0,0,0
"Accident","11/15/00","Temecula, CA","United States","33.525","-117.083333","Fatal(2)","Destroyed",2,0,0,0
"Accident","11/15/00","JENA, LA","United States","31.785277","-92.168056","Fatal(1)","Destroyed",1,0,0,0
"Accident","11/16/00","Cambridge, ID","United States","44.633333","-117.003056","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","11/16/00","BRADENTON, FL","United States","27.435","-82.45","Fatal(1)","Destroyed",1,0,0,1
"Accident","11/16/00","BRADENTON, FL","United States","27.435","-82.45","Fatal(1)","Destroyed",1,0,0,1
"Accident","11/20/00","MIAMI, FL","United States","25.815","-80.296666","Fatal(1)","Minor",1,3,19,110
"Accident","11/30/00","Clifton, AZ","United States","32.960833","-109.225556","Fatal(1)","Destroyed",1,1,0,0
"Accident","12/3/00","KINGWOOD, WV","United States","39.485277","-79.685277","Fatal(1)","Substantial",1,0,0,0
"Accident","12/9/00","PETALUMA, CA","United States","38.272223","-122.534166","Fatal(1)","Destroyed",1,0,0,0
"Accident","12/12/00","Lancaster, CA","United States","34.726667","-118.235833","Fatal(1)","Destroyed",1,0,0,0
"Accident","12/14/00","WESTON, FL","United States","26.148611","-80.635","Fatal(2)","Substantial",2,NA,NA,NA
"Accident","12/14/00","SACRAMENTO, CA","United States","38.695555","-121.590833","Fatal(1)","",1,0,0,6
"Accident","12/15/00","LUSK, WY","United States","42.785","-104.217223","Fatal(2)","Substantial",2,0,0,0
"Accident","12/20/00","KENAI, AK","United States","60.363056","-152.616945","Fatal(2)","Destroyed",2,0,0,0
"Accident","12/22/00","Rangeley, ME","United States","44.883333","-70.638889","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","12/24/00","ALBUQUERQUE, NM","United States","35.038611","-106.603889","Fatal(2)","Substantial",2,0,0,0
"Accident","12/27/00","JUNEAU, AK","United States","58.358333","-134.582778","Fatal(2)","Destroyed",2,0,0,0
"Accident","12/28/00","PIERCE, ID","United States","46.363056","-115.316389","Fatal(2)","Substantial",2,1,NA,NA
"Accident","12/29/00","Gilchrist, TX","United States","29.4325","-94.543055","Fatal(1)","Destroyed",1,0,0,0
"Accident","1/8/01","MINERAL WELLS, TX","United States","32.758056","-98.089166","Fatal(1)","Substantial",1,NA,NA,NA
"Accident","1/8/01","Bluefield, WV","United States","37.283889","-81.206111","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","1/12/01","Martinsville, IN","United States","39.488333","-86.324723","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","1/14/01","BETHEL, NC","United States","35.636389","-77.386389","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","1/14/01","Lake Point, UT","United States","40.683333","-112.35","Fatal(9)","Destroyed",9,NA,NA,NA
"Accident","1/15/01","MONTEREY, CA","United States","36.210278","-122.672223","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","1/21/01","EDGEWOOD, TX","United States","32.697222","-95.8725","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","1/22/01","GRAFTON, WV","United States","39.340555","-80.014444","Fatal(1)","Substantial",1,NA,NA,NA
"Accident","1/23/01","Unalaska, AK","United States","53.96","-166.621389","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","1/24/01","Elbert, CO","United States","39.059722","-104.636389","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","1/24/01","Watkins, CO","United States","39.762222","-104.579167","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","1/24/01","Nashville, TN","United States","36.13","-86.653889","Fatal(4)","Destroyed",4,NA,NA,NA
"Accident","1/27/01","Strasburg, CO","United States","39.746666","-104.25","Fatal(10)","Destroyed",10,NA,NA,NA
"Accident","1/28/01","WURTSBORO, NY","United States","41.602222","-74.452222","Fatal(1)","Substantial",1,NA,NA,NA
"Accident","2/1/01","Marathon, FL","United States","24.902222","-80.934722","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","2/4/01","Bluffton, SC","United States","32.296666","-80.936666","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","2/4/01","RENO, NV","United States","39.839166","-119.746944","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","2/6/01","PLATTER, OK","United States","33.918334","-96.560833","Fatal(2)","Substantial",2,NA,NA,2
"Accident","2/6/01","Platter, OK","United States","33.918334","-96.560833","Fatal(2)","Destroyed",2,NA,NA,2
"Accident","2/7/01","Ainsworth, NE","United States","42.585277","-99.985","Fatal(1)","Destroyed",1,1,NA,NA
"Accident","2/8/01","Ponce, PR","United States","17.996389","-66.553889","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","2/8/01","Beaver Island, MI","United States","45.671389","-85.596389","Fatal(2)","Destroyed",2,2,2,NA
"Accident","2/10/01","Pecan Island, LA","United States","30.375","-92.399444","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","2/10/01","Horicon, WI","United States","43.510278","-88.636111","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","2/11/01","Archer, FL","United States","29.618056","-82.508611","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","2/12/01","Pampa, TX","United States","35.605833","-100.960833","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","2/13/01","Stuart, FL","United States","27.183056","-80.211944","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","2/15/01","Long Beach, CA","United States","33.716945","-118.181111","Fatal(4)","Destroyed",4,NA,NA,NA
"Accident","2/15/01","Long Beach, CA","United States","33.716945","-118.181111","Fatal(4)","Destroyed",4,NA,NA,NA
"Accident","2/15/01","Borger, TX","United States","35.610278","-101.389166","Fatal(2)","Destroyed",2,NA,NA,NA
"Accident","2/18/01","Tybee Island, GA","United States","31.619167","-80.909722","Fatal(4)","Destroyed",4,NA,NA,NA
"Accident","2/18/01","Wendover, UT","United States","41.146389","-114.031389","Fatal(3)","Destroyed",3,NA,NA,NA
"Accident","2/19/01","Norris, SD","United States","43.400833","-101.175834","Fatal(3)","Destroyed",3,NA,NA,NA
"Accident","2/20/01","Paso Robles, CA","United States","35.467223","-120.851389","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","2/26/01","Green River, UT","United States","39.122778","-109.8575","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","3/3/01","Gulfport, MS","United States","31.191666","-89.283333","Fatal(1)","Destroyed",1,NA,NA,NA
"Accident","3/6/01","INYOKERN, CA","United States","35.641111","-117.931667","Fatal(2)","Substantial",2,NA,NA,NA
"Accident","3/8/01","MICA, WA","United States","47.569445","-117.092222","Fatal(1)","Substantial",1,NA,NA,NA
"Accident","3/9/01","SANTA YSABEL, CA","United States","33.114444","-116.724723","Fatal(1)","Destroyed",1,NA,NA,NA
